Association,From Connection,To Connection,From Object,To Object
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_DEFLUSSI_DI_CASSA_NETTI/C00_073_000_0913
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_DEFLUSSI_DI_CASSA_NETTI/C00_073_000_0914
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_DEFLUSSI_DI_CASSA_NETTI/C00_073_000_0915
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_DEFLUSSI_DI_CASSA_NETTI/C00_073_000_0916
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_DEFLUSSI_DI_CASSA_NETTI/C00_073_000_1010
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_DEFLUSSI_DI_CASSA_NETTI/C00_073_000_1030
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_DEFLUSSI_DI_CASSA_NETTI/C00_073_000_1035
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_DEFLUSSI_DI_CASSA_NETTI/C00_073_000_1100
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_DEFLUSSI_DI_CASSA_NETTI/C00_073_000_1180
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_DEFLUSSI_DI_CASSA_NETTI/C00_073_000_1190
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_DEFLUSSI_DI_CASSA_NETTI/C00_073_000_1290
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_DEFLUSSI_DI_CASSA_NETTI/C00_073_000_1300
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_DEFLUSSI_DI_CASSA_NETTI/C00_073_000_1310
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_DEFLUSSI_DI_CASSA_NETTI/C00_073_000_1340
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_DEFLUSSI_DI_CASSA_NETTI/C00_073_000_1350
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_AFFLUSSI_DI_CASSA_NETTI/C00_074_000_0040
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_AFFLUSSI_DI_CASSA_NETTI/C00_074_000_0060
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_AFFLUSSI_DI_CASSA_NETTI/C00_074_000_0070
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_AFFLUSSI_DI_CASSA_NETTI/C00_074_000_0080
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_AFFLUSSI_DI_CASSA_NETTI/C00_074_000_0090
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_AFFLUSSI_DI_CASSA_NETTI/C00_074_000_0120
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_AFFLUSSI_DI_CASSA_NETTI/C00_074_000_0160
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_AFFLUSSI_DI_CASSA_NETTI/C00_074_000_0180
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_AFFLUSSI_DI_CASSA_NETTI/C00_074_000_0190
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_AFFLUSSI_DI_CASSA_NETTI/C00_074_000_0201
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_AFFLUSSI_DI_CASSA_NETTI/C00_074_000_0260
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_AFFLUSSI_DI_CASSA_NETTI/C00_074_000_0480
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_DB02050/DB02050,Custom_SdV://Grace_Schema/TOTALE_DEI_AFFLUSSI_DI_CASSA_NETTI/C00_074_000_0510
core.DirectionalDataFlow,,,Custom_SdV://Grace_Schema/TAB_NB01395/NB01395,Custom_SdV://Grace_Schema/HIGH_QUALITY_LIQUIDY_ASSET/C00_072_000_0040
